Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection,Salary_Band,Risk_Adoption_Combo
Data Scientist,Manufacturing,Small,New York,High,Medium,Cybersecurity,105779.26710468795,No,Decline,Very High,Medium_High
Ai Researcher,Education,Medium,Paris,Medium,High,Project Management,80562.80811133073,No,Stable,Mid,High_Medium
Hr Manager,Manufacturing,Large,Sydney,Medium,Medium,Communication,82049.4035808908,No,Decline,Mid,Medium_Medium
Hr Manager,Manufacturing,Large,New York,Low,Medium,Python,95957.8983295738,Yes,Stable,High,Medium_Low
Data Scientist,Retail,Large,Sydney,High,Medium,Ux/Ui Design,101325.6175943474,Yes,Decline,High,Medium_High
Sales Manager,Finance,Large,Paris,Low,Medium,Python,93002.69268012435,No,Decline,High,Medium_Low
Ux Designer,Finance,Medium,Dubai,Low,High,Project Management,102714.59072314618,No,Stable,High,High_Low
Cybersecurity Analyst,Retail,Medium,San Francisco,High,High,Cybersecurity,75862.85731879607,Yes,Growth,Low,High_High
Ux Designer,Entertainment,Small,San Francisco,High,High,Project Management,89145.92410553433,No,Decline,Mid,High_High
Operations Manager,Healthcare,Small,Berlin,Medium,Low,Javascript,106981.70900901742,No,Growth,Very High,Low_Medium
Cybersecurity Analyst,Entertainment,Small,London,High,High,Cybersecurity,125455.82352873433,Yes,Stable,Very High,High_High
Operations Manager,Technology,Small,Berlin,Medium,Medium,Python,132528.71177946418,Yes,Growth,Very High,Medium_Medium
Ai Researcher,Technology,Medium,Toronto,Medium,High,Sales,98659.53365455465,Yes,Growth,High,High_Medium
Software Engineer,Manufacturing,Large,New York,Medium,Medium,Python,106800.19653491216,No,Growth,Very High,Medium_Medium
Data Scientist,Education,Medium,Sydney,High,Low,Python,129631.5832963038,No,Growth,Very High,Low_High
Cybersecurity Analyst,Education,Small,London,Low,Medium,Cybersecurity,76583.27926533011,Yes,Growth,Low,Medium_Low
Cybersecurity Analyst,Finance,Medium,Paris,Medium,Medium,Javascript,102593.99705425168,Yes,Decline,High,Medium_Medium
Ai Researcher,Transportation,Large,Toronto,Low,Medium,Python,105366.85898972292,No,Decline,Very High,Medium_Low
Sales Manager,Entertainment,Large,Paris,Low,Low,Communication,118957.22872153488,Yes,Decline,Very High,Low_Low
Hr Manager,Telecommunications,Medium,San Francisco,High,High,Marketing,67257.17238927555,No,Stable,Low,High_High
Ai Researcher,Energy,Medium,San Francisco,Low,High,Machine Learning,71211.88432398967,No,Growth,Low,High_Low
Product Manager,Education,Medium,Berlin,Low,Low,Machine Learning,90427.64422209412,Yes,Decline,Mid,Low_Low
Hr Manager,Energy,Small,New York,High,Medium,Python,97554.55324643273,Yes,Stable,High,Medium_High
Data Scientist,Manufacturing,Medium,London,Medium,High,Communication,112457.27907467616,No,Decline,Very High,High_Medium
Hr Manager,Energy,Medium,Singapore,Low,Low,Sales,100350.87551624542,Yes,Decline,High,Low_Low
Sales Manager,Telecommunications,Medium,Toronto,High,High,Ux/Ui Design,86971.73539779433,Yes,Growth,Mid,High_High
Hr Manager,Retail,Large,Toronto,Low,Low,Ux/Ui Design,98329.2288951228,Yes,Stable,High,Low_Low
Data Scientist,Telecommunications,Large,Berlin,Low,Medium,Cybersecurity,96020.88952548904,Yes,Growth,High,Medium_Low
Sales Manager,Energy,Small,San Francisco,Medium,High,Machine Learning,124900.32859975575,No,Growth,Very High,High_Medium
Ux Designer,Telecommunications,Small,Berlin,Low,Low,Python,93313.17887137063,No,Decline,High,Low_Low
Cybersecurity Analyst,Healthcare,Large,Sydney,High,High,Ux/Ui Design,82338.33172894873,No,Growth,Mid,High_High
Cybersecurity Analyst,Manufacturing,Large,London,Low,High,Python,98992.1806014366,No,Stable,High,High_Low
Operations Manager,Entertainment,Large,New York,Medium,High,Cybersecurity,93969.70638677065,Yes,Growth,High,High_Medium
Ux Designer,Retail,Medium,Dubai,Medium,High,Machine Learning,58580.13288650656,Yes,Growth,Low,High_Medium
Ux Designer,Education,Medium,Tokyo,High,Low,Project Management,89686.95876755661,No,Growth,Mid,Low_High
Hr Manager,Technology,Large,Tokyo,Medium,Medium,Marketing,87985.23509187989,No,Decline,Mid,Medium_Medium
Cybersecurity Analyst,Entertainment,Medium,Berlin,Low,Low,Marketing,79122.56268441367,Yes,Stable,Mid,Low_Low
Data Scientist,Technology,Medium,Sydney,Medium,Low,Ux/Ui Design,110711.66575245943,No,Decline,Very High,Low_Medium
Marketing Specialist,Manufacturing,Small,London,High,Low,Marketing,74286.40806776009,No,Decline,Low,Low_High
Marketing Specialist,Retail,Large,Singapore,Medium,Medium,Project Management,99112.37239049075,Yes,Decline,High,Medium_Medium
Sales Manager,Finance,Large,Tokyo,Medium,High,Python,87042.86000312539,No,Decline,Mid,High_Medium
Cybersecurity Analyst,Education,Medium,London,Medium,High,Cybersecurity,92153.90011293563,Yes,Decline,High,High_Medium
Cybersecurity Analyst,Healthcare,Large,New York,High,High,Project Management,98235.72582091736,Yes,Stable,High,High_High
Marketing Specialist,Finance,Small,Paris,Medium,Medium,Cybersecurity,63848.51232217997,No,Growth,Low,Medium_Medium
Cybersecurity Analyst,Manufacturing,Small,Sydney,Medium,High,Cybersecurity,93833.21783469566,Yes,Decline,High,High_Medium
Hr Manager,Entertainment,Small,San Francisco,Low,Medium,Machine Learning,135778.94979426413,No,Decline,Very High,Medium_Low
Product Manager,Healthcare,Large,London,High,High,Python,58864.73308242552,Yes,Stable,Low,High_High
Software Engineer,Telecommunications,Large,New York,Medium,High,Communication,88847.84072568991,No,Stable,Mid,High_Medium
Ux Designer,Energy,Large,Singapore,High,Low,Marketing,112464.7864964764,No,Growth,Very High,Low_High
Operations Manager,Healthcare,Large,Dubai,Medium,Medium,Communication,96032.38495907192,No,Stable,High,Medium_Medium
Sales Manager,Manufacturing,Large,San Francisco,Medium,Low,Machine Learning,103759.33904232067,Yes,Growth,High,Low_Medium
Product Manager,Transportation,Small,Dubai,Medium,Low,Cybersecurity,42486.67977814768,Yes,Decline,Low,Low_Medium
Marketing Specialist,Energy,Medium,Singapore,Low,Low,Ux/Ui Design,101964.987492599,No,Decline,High,Low_Low
Ux Designer,Technology,Small,New York,Low,Medium,Marketing,74766.23587532803,Yes,Growth,Low,Medium_Low
Cybersecurity Analyst,Education,Large,Tokyo,Low,Medium,Marketing,96197.54569166292,No,Stable,High,Medium_Low
Operations Manager,Technology,Small,Dubai,High,High,Python,89411.30538181018,No,Growth,Mid,High_High
Cybersecurity Analyst,Healthcare,Large,San Francisco,High,Low,Javascript,135566.66058323265,Yes,Stable,Very High,Low_High
Data Scientist,Technology,Large,Berlin,Low,High,Data Analysis,100933.9064753175,No,Decline,High,High_Low
Data Scientist,Manufacturing,Small,Toronto,High,Low,Data Analysis,87747.52341474428,Yes,Stable,Mid,Low_High
Operations Manager,Telecommunications,Large,London,Medium,Medium,Data Analysis,59806.144814928906,No,Growth,Low,Medium_Medium
Operations Manager,Entertainment,Medium,Tokyo,Medium,Medium,Javascript,92422.93803699792,Yes,Growth,High,Medium_Medium
Marketing Specialist,Education,Large,Dubai,Medium,Medium,Python,106464.57756693644,No,Decline,Very High,Medium_Medium
Operations Manager,Technology,Medium,Paris,Low,Low,Javascript,88388.96216361554,No,Stable,Mid,Low_Low
Hr Manager,Technology,Medium,London,High,Medium,Data Analysis,79886.87280125119,Yes,Stable,Mid,Medium_High
Cybersecurity Analyst,Healthcare,Large,Berlin,Low,Low,Machine Learning,78548.26672307363,No,Stable,Mid,Low_Low
Product Manager,Entertainment,Small,Singapore,High,High,Project Management,100702.8287091064,No,Decline,High,High_High
Ai Researcher,Finance,Medium,Toronto,Medium,Low,Cybersecurity,105187.75878618314,Yes,Stable,Very High,Low_Medium
Operations Manager,Technology,Small,New York,Low,High,Javascript,117224.20230642238,No,Growth,Very High,High_Low
Sales Manager,Manufacturing,Medium,Berlin,High,Low,Python,70100.00213579283,Yes,Stable,Low,Low_High
Data Scientist,Transportation,Large,Berlin,High,High,Python,100519.55116835234,No,Decline,High,High_High
Hr Manager,Education,Large,Singapore,Medium,Medium,Communication,87565.92091164265,Yes,Stable,Mid,Medium_Medium
Ux Designer,Technology,Medium,Sydney,Low,High,Project Management,88155.31590733438,No,Stable,Mid,High_Low
Ai Researcher,Manufacturing,Large,Singapore,Low,Medium,Ux/Ui Design,98036.51708068005,No,Growth,High,Medium_Low
Product Manager,Manufacturing,Medium,Sydney,Low,Medium,Marketing,98153.12507249897,No,Stable,High,Medium_Low
Ai Researcher,Education,Large,Sydney,Medium,High,Data Analysis,100575.36211583146,Yes,Growth,High,High_Medium
Operations Manager,Finance,Small,Tokyo,Low,Low,Ux/Ui Design,68850.5761560838,Yes,Growth,Low,Low_Low
Marketing Specialist,Manufacturing,Large,Tokyo,Medium,Low,Communication,75003.77185667082,Yes,Decline,Low,Low_Medium
Data Scientist,Transportation,Small,San Francisco,Medium,Low,Data Analysis,119717.36551035367,Yes,Growth,Very High,Low_Medium
Data Scientist,Manufacturing,Large,Dubai,Medium,Low,Project Management,85588.5506503832,No,Growth,Mid,Low_Medium
Ux Designer,Manufacturing,Small,Dubai,High,Low,Communication,96120.28796035792,No,Decline,High,Low_High
Marketing Specialist,Manufacturing,Large,New York,Low,Medium,Data Analysis,111093.32624086372,Yes,Growth,Very High,Medium_Low
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,Low,Project Management,99268.86144721638,Yes,Decline,High,Low_Low
Software Engineer,Telecommunications,Medium,Tokyo,Medium,Medium,Sales,100930.45261944078,Yes,Stable,High,Medium_Medium
Hr Manager,Finance,Medium,San Francisco,Medium,Medium,Ux/Ui Design,107891.55358487512,No,Decline,Very High,Medium_Medium
Data Scientist,Technology,Small,San Francisco,Low,Medium,Ux/Ui Design,47666.72478206,Yes,Growth,Low,Medium_Low
Sales Manager,Manufacturing,Large,Sydney,Medium,High,Marketing,80200.99689678931,Yes,Decline,Mid,High_Medium
Data Scientist,Entertainment,Small,Singapore,Low,High,Project Management,99372.11592999184,No,Growth,High,High_Low
Ai Researcher,Technology,Large,New York,High,Medium,Javascript,117752.88614115314,No,Stable,Very High,Medium_High
Data Scientist,Finance,Medium,Sydney,Medium,High,Sales,91321.91119311546,Yes,Decline,Mid,High_Medium
Data Scientist,Retail,Large,Singapore,Low,Low,Machine Learning,73105.67076487809,No,Stable,Low,Low_Low
Software Engineer,Technology,Medium,Dubai,Medium,Low,Data Analysis,73638.27900778996,Yes,Growth,Low,Low_Medium
Software Engineer,Technology,Large,Sydney,Low,Medium,Sales,107677.22406906149,No,Growth,Very High,Medium_Low
Product Manager,Energy,Large,London,Low,Low,Project Management,85644.52835216226,Yes,Stable,Mid,Low_Low
Cybersecurity Analyst,Healthcare,Large,Dubai,Medium,Medium,Cybersecurity,89855.99908419327,Yes,Decline,Mid,Medium_Medium
Sales Manager,Energy,Small,Singapore,High,Medium,Data Analysis,102300.60387544638,Yes,Decline,High,Medium_High
Data Scientist,Transportation,Small,New York,Low,Low,Python,31969.52634612842,Yes,Growth,Low,Low_Low
Data Scientist,Telecommunications,Medium,Singapore,Low,High,Ux/Ui Design,130007.35023016162,No,Stable,Very High,High_Low
Hr Manager,Telecommunications,Medium,Sydney,Low,Low,Project Management,75378.52329897878,No,Stable,Low,Low_Low
Software Engineer,Healthcare,Small,Sydney,High,Low,Python,94838.72738947145,No,Decline,High,Low_High
Sales Manager,Education,Medium,Berlin,High,Medium,Marketing,55906.05973007458,No,Decline,Low,Medium_High
Ux Designer,Education,Small,New York,Medium,Medium,Communication,81549.17779189924,Yes,Decline,Mid,Medium_Medium
Product Manager,Finance,Large,Paris,High,Medium,Machine Learning,114893.76092730192,Yes,Stable,Very High,Medium_High
Cybersecurity Analyst,Healthcare,Medium,Dubai,Medium,Medium,Machine Learning,51676.65640668242,No,Decline,Low,Medium_Medium
Marketing Specialist,Technology,Medium,San Francisco,Medium,High,Python,112524.00174378282,No,Decline,Very High,High_Medium
Cybersecurity Analyst,Education,Small,New York,High,High,Ux/Ui Design,84526.07807535231,No,Growth,Mid,High_High
Ai Researcher,Manufacturing,Medium,San Francisco,Medium,High,Marketing,99743.28880440384,No,Decline,High,High_Medium
Data Scientist,Entertainment,Medium,New York,High,Medium,Cybersecurity,103150.4882697022,No,Decline,High,Medium_High
Product Manager,Technology,Large,New York,Medium,Medium,Ux/Ui Design,98828.42998981853,Yes,Stable,High,Medium_Medium
Ai Researcher,Transportation,Medium,Singapore,High,Medium,Sales,72700.98696738348,Yes,Stable,Low,Medium_High
Sales Manager,Manufacturing,Large,New York,High,High,Machine Learning,82709.01706929953,Yes,Growth,Mid,High_High
Marketing Specialist,Manufacturing,Small,Berlin,Medium,Medium,Sales,60768.876454983685,No,Decline,Low,Medium_Medium
Software Engineer,Healthcare,Medium,Paris,Low,Low,Data Analysis,99835.9266317616,No,Growth,High,Low_Low
Product Manager,Finance,Large,Sydney,Medium,Low,Javascript,124041.10308031851,No,Stable,Very High,Low_Medium
Product Manager,Transportation,Small,Toronto,High,Medium,Project Management,53511.18226647075,No,Growth,Low,Medium_High
Data Scientist,Education,Medium,San Francisco,Low,Low,Marketing,74767.0818772393,Yes,Stable,Low,Low_Low
Operations Manager,Healthcare,Small,Sydney,Medium,Low,Ux/Ui Design,86364.49448234134,Yes,Growth,Mid,Low_Medium
Product Manager,Education,Medium,Toronto,Medium,High,Machine Learning,93466.82847427108,No,Growth,High,High_Medium
Hr Manager,Healthcare,Small,Paris,Medium,Medium,Sales,107583.52602868852,Yes,Decline,Very High,Medium_Medium
Marketing Specialist,Healthcare,Small,Paris,Low,Medium,Communication,86956.00039284666,Yes,Growth,Mid,Medium_Low
Marketing Specialist,Healthcare,Large,San Francisco,High,High,Data Analysis,83680.825471087,No,Decline,Mid,High_High
Hr Manager,Finance,Small,San Francisco,Medium,Low,Project Management,112062.6141213948,No,Decline,Very High,Low_Medium
Ux Designer,Healthcare,Medium,Paris,Medium,Low,Project Management,103239.91134126612,No,Decline,High,Low_Medium
Hr Manager,Retail,Medium,Toronto,Medium,Medium,Ux/Ui Design,100779.55951402197,No,Decline,High,Medium_Medium
Hr Manager,Entertainment,Large,New York,Medium,Low,Marketing,92250.31423176228,No,Growth,High,Low_Medium
Marketing Specialist,Education,Medium,Dubai,Medium,High,Cybersecurity,109663.04421839718,No,Stable,Very High,High_Medium
Cybersecurity Analyst,Technology,Medium,London,High,High,Communication,76873.81217539468,Yes,Stable,Low,High_High
Marketing Specialist,Energy,Medium,Sydney,High,Medium,Ux/Ui Design,74146.11435627844,Yes,Stable,Low,Medium_High
Operations Manager,Transportation,Small,Singapore,Medium,High,Sales,104922.01973738648,No,Growth,Very High,High_Medium
Data Scientist,Telecommunications,Small,Sydney,Low,High,Javascript,57499.28061506184,Yes,Decline,Low,High_Low
Ai Researcher,Finance,Medium,Singapore,High,Medium,Python,91843.59019272974,No,Stable,Mid,Medium_High
Cybersecurity Analyst,Technology,Large,Toronto,Low,High,Cybersecurity,83668.83295474976,No,Growth,Mid,High_Low
Software Engineer,Manufacturing,Small,Singapore,High,High,Marketing,61884.90538694088,No,Decline,Low,High_High
Ai Researcher,Retail,Large,San Francisco,Medium,High,Data Analysis,71374.64840567471,No,Stable,Low,High_Medium
Data Scientist,Telecommunications,Medium,Dubai,High,Low,Cybersecurity,87820.47815409301,Yes,Decline,Mid,Low_High
Operations Manager,Energy,Medium,Dubai,Medium,Medium,Machine Learning,110679.26512998046,No,Stable,Very High,Medium_Medium
Operations Manager,Technology,Small,San Francisco,High,Medium,Marketing,76940.84017484378,Yes,Stable,Low,Medium_High
Software Engineer,Telecommunications,Medium,Berlin,Medium,Medium,Javascript,114267.62799809988,No,Stable,Very High,Medium_Medium
Cybersecurity Analyst,Technology,Small,Toronto,Medium,Low,Machine Learning,91263.58455113032,No,Decline,Mid,Low_Medium
Ux Designer,Retail,Medium,Berlin,Medium,Low,Cybersecurity,116207.69404339942,No,Growth,Very High,Low_Medium
Hr Manager,Energy,Medium,Berlin,Medium,Medium,Python,77910.16782439903,Yes,Decline,Low,Medium_Medium
Cybersecurity Analyst,Manufacturing,Small,Sydney,Low,Low,Python,89023.80823789263,No,Stable,Mid,Low_Low
Ux Designer,Healthcare,Small,Paris,Medium,Medium,Javascript,97369.6720667399,No,Decline,High,Medium_Medium
Operations Manager,Education,Small,Sydney,Low,Low,Project Management,86409.79074516977,No,Growth,Mid,Low_Low
Marketing Specialist,Manufacturing,Medium,Paris,Low,High,Communication,109060.48294290472,Yes,Decline,Very High,High_Low
Data Scientist,Healthcare,Medium,London,Medium,High,Data Analysis,45848.72549419468,Yes,Growth,Low,High_Medium
Software Engineer,Finance,Large,Singapore,Low,Medium,Project Management,138448.1107757988,Yes,Growth,Very High,Medium_Low
Data Scientist,Entertainment,Small,Paris,High,Low,Python,107155.49213990325,No,Decline,Very High,Low_High
Sales Manager,Transportation,Medium,San Francisco,Medium,Low,Python,86529.36341929967,Yes,Stable,Mid,Low_Medium
Sales Manager,Transportation,Medium,Sydney,Low,High,Sales,78953.56652845311,No,Growth,Mid,High_Low
Cybersecurity Analyst,Education,Small,Toronto,Medium,High,Machine Learning,72671.58777102892,Yes,Decline,Low,High_Medium
Operations Manager,Energy,Large,Singapore,Medium,Low,Cybersecurity,102912.30948339474,Yes,Growth,High,Low_Medium
Operations Manager,Retail,Small,London,Medium,Low,Data Analysis,109899.63337584709,No,Stable,Very High,Low_Medium
Hr Manager,Energy,Large,Paris,Low,Low,Javascript,86749.477437402,Yes,Decline,Mid,Low_Low
Hr Manager,Retail,Medium,London,High,Low,Cybersecurity,112139.80825957004,No,Decline,Very High,Low_High
